analog_id,name,category,buyer_type,price_usd_mo,channel,proxy_rate,tags
GOODNOTES,GoodNotes,edtech,b2c,10,app_store,0.18,notes students ipad hk
NOTABILITY,Notability,edtech,b2c,9,app_store,0.14,notes students audio
NOTION,Notion,productivity,b2c,10,app_store,0.16,notes students knowledge
PLAID,Plaud / AI note gadgets,productivity,b2c,12,app_store,0.09,voice notes recording
OTTER,Otter.ai,productivity,b2c,17,app_store,0.11,voice transcript meetings
GRAMMARLY,Grammarly,productivity,b2c,12,app_store,0.15,writing students pro
INTERCOM_FIN,Intercom Fin,voice_ai,b2b,500,sales_led,0.1,support agent saas
AIRCALL,Aircall,voice_ai,b2b,350,sales_led,0.09,voice cloud callcenter
GONG,Gong,b2b_saas,b2b,1200,sales_led,0.12,revenue voice enterprise
ZOOM_AI,Zoom AI Companion,voice_ai,b2b,0,sales_led,0.2,meetings voice incumbent
SALESFORCE_E,Einstein / Agentforce,voice_ai,b2b,1500,sales_led,0.08,enterprise agent crm
WHATSAPP_BIZ,WhatsApp Business,b2b_saas,b2b,0,owner_direct,0.22,sme family messaging
KEETA_POS,Local SME POS / Waiter apps,b2b_saas,b2b,30,owner_direct,0.07,hk sme family ops
HUBSPOT,HubSpot Starter,b2b_saas,b2b,20,sales_led,0.13,smb saas crm
MS_COPILOT,Microsoft 365 Copilot,voice_ai,b2b,30,sales_led,0.14,enterprise ai assistant
