analog_id,name,category,buyer_type,price_usd_mo,channel,proxy_rate,penetration,tags
GOODNOTES,GoodNotes,edtech,b2c,10.0,app_store,0.18,high,notes students ipad hk
NOTABILITY,Notability,edtech,b2c,9.0,app_store,0.14,mid,notes students audio
NOTION,Notion,productivity,b2c,10.0,app_store,0.16,high,notes students knowledge
PLAID,Plaud / AI note gadgets,productivity,b2c,12.0,app_store,0.09,mid,voice notes recording
OTTER,Otter.ai,productivity,b2c,17.0,app_store,0.11,mid,voice transcript meetings
GRAMMARLY,Grammarly,productivity,b2c,12.0,app_store,0.15,high,writing students pro
INTERCOM_FIN,Intercom Fin,voice_ai,b2b,500.0,sales_led,0.1,mid,support agent saas
AIRCALL,Aircall,voice_ai,b2b,350.0,sales_led,0.09,mid,voice cloud callcenter
GONG,Gong,b2b_saas,b2b,1200.0,sales_led,0.12,high,revenue voice enterprise
ZOOM_AI,Zoom AI Companion,voice_ai,b2b,0.0,sales_led,0.2,high,meetings voice incumbent
SALESFORCE_E,Einstein / Agentforce,voice_ai,b2b,1500.0,sales_led,0.08,mid,enterprise agent crm
WHATSAPP_BIZ,WhatsApp Business,b2b_saas,b2b,0.0,owner_direct,0.22,high,sme family messaging
KEETA_POS,Local SME POS / Waiter apps,b2b_saas,b2b,30.0,owner_direct,0.07,low,hk sme family ops
HUBSPOT,HubSpot Starter,b2b_saas,b2b,20.0,sales_led,0.13,high,smb saas crm
MS_COPILOT,Microsoft 365 Copilot,voice_ai,b2b,30.0,sales_led,0.14,high,enterprise ai assistant
