Topic,Rule
Target,P(a unit in segment s adopts product x within 12 months). Not P(startup succeeds).
Unit,B2C = person. B2B = firm. Do not mix them in one average without weighting.
Eligible universe M_s,Segment population after hard filters (buyer type must match or ICP fit collapses).
Expected adopters,"M_s x P(adopt | s, x). A planning number, not a forecast of revenue."
Feature z_i,"Each feature is scaled to [0,1] with a fixed transform. No prompt."
Weights w_i,Published on 02_Assumptions. Sum to 1. Change them in one place.
Analog rate,Similarity-weighted proxy conversion of the nearest shipped products.
Coverage,"How much analog mass we actually found. Low coverage -> lean on the scorecard, lower confidence."
Calibration,"alpha, beta fit so mid scores land on typical consumer-app / SMB-SaaS conversion bands (5-20%)."
Out of scope,"Unit sales, LTV, virality, brand love, novel categories with zero analogs."
LLM role,"Optional schema filler only. After JSON is valid, the pipeline is a pure function."
Validation later,"Hold out 20% of analog rows. Compare predicted P to proxy_rate. Report MAE, not vibes."
